nomes_populares,nomes_cientifico,remedio,laboratorio,indicacao,posologia,descarte,contra_indicacoes,parte_usada,indicacoes_extemporaneas,modo_de_preparo,modo_de_uso,contra_indicacoes_extemporaneas,localizacao,imagem_demonstracao1,imagem_demonstracao2,img_remedio_demonstracao
Macela; marcela; macela-do-campo,Achyrocline satureioides,Não há,,,,,,Inflorescência,"Auxilia no alívio de sintomas dispépticos, atua como antiespasmódico e possui ação anti-inflamatória.","Ultilizar de 0,5 a 1,5 gramas da droga vegetal em 150 mL de água. Adicionar a água fervente sobre a droga vegetal e deixar em infusão por 10 a 15 minutos antes de consumir.","Tomar 150 mL do infuso, duas a três vezes ao dia, logo após o preparo.","Durante a gestação, lactação e em menores de 18 anos, o uso é contraindicado devido à falta de dados adequados que comprovem a segurança nessas condições. Em casos raros, pode provocar vertigem, cefaleia, alergias oculares e fitofotodermatose (dermatite de contato pós-exposição solar). Pode potencializar o efeito da insulina, barbitúricos e outros sedativos. Pessoas que apresentem episódios de hipoglicemia devem buscar orientação médica ou farmacêutica antes de usar o produto. Em caso de efeitos adversos, suspenda o uso e consulte um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31793018.894942272!2d-73.16447107577312!3d-13.413332832511053!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9c59c7ebcc28cf%3A0x295a1506f2293e63!2sBrasil!5e0!3m2!1spt-BR!2sbr!4v1737924347459!5m2!1spt-BR!2sbr,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxhKO4wxWy56hZ0WSeO9o39e-4Ay84epp1bBnhX4yaAg&s=10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNL5ZIgWzBGl5lnI8F2_vpbyRxACd6V2HC0CsfDddhW_rNXAvpVKHaupw&s=10,
Cavalinha,Equisetum arvense L,Cavalinha Orient,ORIENT MIX FITOTERÁPICOS DO BRASIL LTDA,Diurético suave utilizado no tratamento de infecções do trato urinário inferior e dos rins.,"Ingerir 1 cápsula, 2 vezes ao dia.","Não descartar em lixo doméstico ou vaso sanitário. Descartar em pontos de coleta, como farmácias comunitárias e unidades básicas de saúde, conforme políticas locais.","Pacientes com hipersensibilidade a extratos de E. arvensis ou outras plantas da família Equisetaceae, bem como aqueles com disfunção cardíaca ou renal, devem evitar o uso. O consumo por gestantes e mulheres em fase de amamentação não é recomendado, pois a presença de alcaloides pode induzir ação citotóxica. Também é contraindicado para crianças menores de 12 anos.",Partes aéreas,"Auxilia no aumento do fluxo urinário, funcionando como adjuvante no tratamento de condições leves do trato urinário, desde que situações graves tenham sido previamente descartadas por um médico.",Utilizar de 1 a 4 gramas da droga vegetal em 150 mL de água. Despejar a água fervente sobre a droga vegetal e deixar em infusão por 10 a 15 minutos antes do uso.,"Tomar 150 mL do infuso de três a quatro vezes ao dia, respeitando a dose máxima diária de 3 a 12 g da planta inteira.","Tradicionalmente, as formulações indicadas para o aumento do fluxo urinário são administradas por um período de duas a quatro semanas. O uso é contraindicado durante a gestação, lactação e para crianças menores de 12 anos, devido à falta de dados adequados que comprovem a segurança nessas condições. Não é recomendado em situações de saúde nas quais a ingestão de líquidos deve ser restrita, como em casos de doenças cardíacas ou renais graves, ou obstrução das vias urinárias. Caso ocorra febre, disúria, cólicas ou hematúria durante o uso, um médico deve ser consultado. Por via oral, pode causar desconforto gastrointestinal e reações alérgicas. Não é recomendado o uso concomitante com diuréticos sintéticos. O uso excessivo pode levar à carência de vitamina B1 (tiamina) e, se prolongado, pode causar hipocalemia. Pode inibir a enzima CYP1A2, alterando o metabolismo de certos fármacos. Também pode haver interação com digitálicos e glicosídeos cardiotônicos, devido à perda de potássio associada ao efeito diurético. Em caso de efeitos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5083749.631825684!2d9.12018113237542!3d51.526064052813986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47009964a4640bbb%3A0x97573ca49cc55ea!2zUG9sw7RuaWE!5e0!3m2!1spt-BR!2sbr!4v1737924380690!5m2!1spt-BR!2sbr,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBu1TZ9WoOBXI5a7H5lQHjOy9hKrmc15KjqQ&s,https://plantsam.com/wp-content/uploads/2014/06/Equisetum-arvense-8.jpg,
"Sene, sena",Senna alexandrina Mill,Active Plus,MAKROFARMA QUIMICA FARMACEUTICA LTDA.,Tratamento de constipação intestinal ocasional e como laxativo.,Ingerir de 1 a 2 cápsulas ao deitar (adultos e crianças acima de 12 anos). Ingerir de 1 cápsula aao deitar (crianças de 8 a 12 anos). Recomenda-se não exceder o período de 7 dias de tratamento.,"Não descartar em lixo doméstico ou vaso sanitário. Descartar em pontos de coleta, como farmácias comunitárias e unidades básicas de saúde, conforme políticas locais.","Pacientes com hipersensibilidade aos componentes da fórmula, menores de 12 anos, grávidas, lactantes, pacientes com constipação intestinal crônica, distúrbios intestinais, dores abdominais, doenças inflamatórias intestinais (doença de Crohn, retocolite ulcerativa), apendicite, desidratação grave com perda de água e eletrólitos e em pacientes portadores de diabetes mellitus de difícil controle. O uso de S. alexandrina pode reduzir a absorção de fármacos, como por exemplo os estrógenos (anticoncepcionais orais) e pode também potencializar o efeito de glicosídeos cardiotônicos (digitálicos) e as arritmias cardíacas ou os efeitos antiarrítmicos, quando uso concomitante com quinidina. O uso simultâneo com outros medicamentos que induzem à hipocalemia, como diuréticos tiazídicos, adrenocorticosteroides ou raiz de alcaçuz, pode exacerbar o desequilíbrio eletrolítico, resultando em disfunções cardíacas e neuromusculares. Pode haver interação com a nifedipina e indometacina e outros anti-inflamatórios não hormonais.",,,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30773484.55170563!2d61.02451656116589!3d19.69009515037612!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30635ff06b92b791%3A0xd78c4fa1854213a6!2zw41uZGlh!5e0!3m2!1spt-BR!2sbr!4v1737924401796!5m2!1spt-BR!2sbr,https://a-static.mlcdn.com.br/800x600/muda-de-sene-planta-com-propriedades-medicinais-altura-de-040-cm-a-080-cm-amk-jardinagem-e-paisagismo/amk-jardinagemepaisagismo/657833597/91391b2988c14a18a44c235f7eeda1e6.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHe60oumRImXIFMZ84FFfwW8RHg0TLvrDEht7-2crHTEN1WuDLOdhQVRxj&s=10,
"Camomila, camomila-verdadeira, maçanilha",Matricaria chamomilla L,AD-MUC,BIOLAB SANUS FARMACÊUTICA LTDA,"Tratamento de gengivite (inflamação da gengiva), estomatite (inflamação da mucosa oral) e outras inflamações da cavidade bucal. Também é indicado nas irritações bucais originadas de dentaduras mal ajustadas.","Aplicar a pomada 2 vezes ao dia, após escovar os dentes.","Não descartar em lixo doméstico ou vaso sanitário. Descartar em pontos de coleta, como farmácias comunitárias e unidades básicas de saúde, conforme políticas locais.","Lactantes, menores de 3 anos e pacientes em uso de anticoagulantes, pois pode ocorrer potencialização dos efeitos.",Inflorescências,"Auxilia no tratamento sintomático de queixas gastrointestinais leves, como distensão abdominal e espasmos suaves.","Ultilizar de 0,5 a 4 gramas de droga vegetal em 100-150 mL de água. Adicionar a água fervente sobre a droga vegetal e deixar em repouso por 10-15 minutos antes de usar.","Uso pediátrico entre 6 meses e 2 anos: tomar uma dose do infuso, preparado a partir de 0,5 a 1 g da droga vegetal, duas a quatro vezes ao dia. Uso pediátrico entre 2 anos e 6 anos: tomar uma dose do infuso, preparado a partir de 1 a 1,5 g da droga vegetal, duas a quatro vezes ao dia. Uso pediátrico entre 6 anos e 12 anos: tomar uma dose do infuso, preparado a partir de 1,5 a 3 g da droga vegetal, duas a quatro vezes ao dia. Uso adulto e pediátrico acima de 12 anos: tomar uma dose do infuso, preparado a partir de 1,5 a 4 g da droga vegetal, três a quatro vezes ao dia. partir de 3 a 10 g da droga vegetal, diversas vezes ao dia.","O uso oral é contraindicado para crianças menores de 6 meses, assim como a inalação não é recomendada a menores de 6 anos. Reações de hipersensibilidade, de frequência não conhecida, incluindo reações alérgicas severas (dispneia, doença de Quincke, colapso vascular, choque anafilático) foram relatadas após contato de mucosas com preparações líquidas de M. chamomilla. Foram relatadas interações baseadas no efeito na CYP450 em pacientes após transplante renal tomando altas doses de matricária por longos períodos (cerca de dois meses). Não administrar junto a anticoagulantes, pois pode ocorrer potencialização dos efeitos, também não administrar junto a aminoácidos que contenham grupos sulfidrila como a cisteína e a N-glicina. O efeito pode diminuir se administrado junto a anti-inflamatórios não esteroidais. O uso oromucoso e cutâneo é recomendado somente para pessoas maiores de 12 anos de idade. O uso cutâneo é contraindicado em caso de lesões profundas ou extensas. Podem surgir reações alérgicas e dermatite de contato. Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7292975.193877096!2d25.58305514339325!3d26.807394875043453!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14368976c35c36e9%3A0x2c45a00925c4c444!2sEgito!5e0!3m2!1spt-BR!2sbr!4v1737924430938!5m2!1spt-BR!2sbr,https://www.hortaemcasa.info/wp-content/uploads/2018/12/camomilas-.jpg,http://www.opas.org.br/wp-content/uploads/2016/03/camomila-seca.jpg,https://th.bing.com/th/id/OIP.AQKaGzuuyq-BvI8CaJyJGgHaHa?rs=1&pid=ImgDetMain
"Melissa, cidrilha, melitéia, erva-cidreira-verdadeira.",Melissa officinalis L,Sonolis,AIRELA INDÚSTRIA FARMACÊUTICA LTDA,"Carminativo, antiespasmódico e ansiolítico leve","Ingerir 40 gotas (2 mL) diluído em água, 2 vezes ao dia (crianças acima de 12 anos). Ingerir 60 gotas (3 mL) diluído em água, 2 vezes ao dia (adultos).","Não descartar em lixo doméstico ou vaso sanitário. Descartar em pontos de coleta, como farmácias comunitárias e unidades básicas de saúde, conforme políticas locais.","Pacientes com hipersensibilidade aos componentes da fórmula, pessoas com hipotireoidismo, menores de 12 anos, grávidas e lactantes, e o uso concomitante com sedativos.",Folhas,"Auxilia no alívio da ansiedade e insônia leves. Como auxiliar no tratamento sintomático de queixas gastrintestinais leves, tais como distensão abdominal e flatulência.","Ultilizar de 1,5 a 4,5 gramas da droga vegetal em 150 mL de água. Adicionar a água fervente sobre a droga vegetal e deixar em repouso por 10-15 minutos antes de usar.",Tomar 150 mL do infuso até três vezes ao dia.,"O uso é contraindicado durante a gestação, lactação e para menores de 12 anos, devido à falta de dados adequados que comprovem a segurança nessas situações. Se persistirem os sintomas por tempo maior que duas semanas de uso do produto ou se houver agravamento do quadro clínico, um médico deverá ser consultado. Esse produto pode comprometer a capacidade de conduzir e utilizar máquinas, portanto as pessoas em uso deste produto não devem dirigir ou operar máquinas. Não deve ser utilizado nos casos de hipotireoidismo e utilizar cuidadosamente em pessoas com hipotensão arterial. É contraindicado em pessoas com glaucoma e hiperplasia benigna de próstata. Pode aumentar o efeito hipnótico do pentobarbital e hexobarbital. Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5135974.556607946!2d5.174593552026834!3d51.056779222299596!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479a721ec2b1be6b%3A0x75e85d6b8e91e55b!2sAlemanha!5e0!3m2!1spt-BR!2sbr!4v1737924457217!5m2!1spt-BR!2sbr,https://cdnm.westwing.com.br/glossary/uploads/br/2023/06/27204740/erva-cidreira-1.png,https://static.tuasaude.com/media/article/yq/ux/beneficios-do-cha-de-erva-cidreira_52845_l.jpg,https://th.bing.com/th/id/R.2ae1781a1b8945bc5282c167749c733c?rik=oxuM1nS8zZuXXQ&riu=http%3a%2f%2foestepharma.com.br%2fimg%2fprodutos%2f001%2f23462.jpg&ehk=MqctjZP9YWput40UJ%2bRiFLtMfWq%2fMi1FIM%2bAzLCk%2bT4%3d&risl=&pid=ImgRaw&r=0
"Alecrim, rosmarino",Rosmarinus officinalis L,Não há,,,,,,Folhas,Auxilia no alívio de sintomas dispépticos; auxilia nas desordens espasmódicas leves do trato gastrointestinal.,Ultilizar de 1 a 2 gramas da droga vegetal em 150 mL de água. Adicionar a água fervente sobre a droga vegetal e deixar em repouso por 10-15 minutos antes de usar.,"Tomar de 150 a 250 mL do infuso, conforme preparado, 15 minutos após o preparo, duas a três vezes ao dia entre as refeições.","O uso é contraindicado para crianças menores de 12 anos, gestantes e lactantes, devido à falta de dados adequados que comprovem a segurança nessas situações. Pessoas com obstrução dos ductos biliares ou qualquer outra disfunção, colangite ou doenças hepáticas, necessitam de supervisão de um médico para o uso destas preparações. Pode alterar o sono se utilizada à noite, antes de dormir. Utilizar com cautela em hipertensos, diabéticos e portadores de adenomas prostáticos. Pode reduzir o limiar convulsígeno em pacientes epilépticos. Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13333381.99881003!2d-17.58106473937053!3d35.3253526618782!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xc42e3783261bc8b%3A0xa6ec2c940768a3ec!2sEspanha!5e0!3m2!1spt-BR!2sbr!4v1737924488882!5m2!1spt-BR!2sbr,https://projetojardinando.com.br/wp-content/uploads/2020/05/alecrim_destaque_1280x720_1-1-1024x576.jpg,https://media.plantamus.com/product/romero-rosmarinus-officinalis-800x800.jpg,
"Babosa, babosa-medicinal, erva-babosa",Aloe vera (L.) Burm.f.,Não há,,,,,,Gel mucilaginoso incolor,"Cicatrizante nos casos de ferimentos leves, desordens inflamatórias na pele, incluindo queimaduras (de 1º e 2º grau), escoriações e abrasões.","Material mucilaginoso, translúcido e incolor, presente no interior das folhas.","Aplicar o gel nas áreas afetadas, de uma a três vezes ao dia.","O uso é contraindicado durante a gestação, lactação e para menores de 18 anos, devido à falta de dados adequados que comprovem a segurança nessas situações. Descontinuar o uso se houver relatos de dermatite de contato e sensação de dor tipo queimação na pele lesionada ou ferida. Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15021739.01132578!2d-113.27220181529623!3d23.19147808614928!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x84043a3b88685353%3A0xed64b4be6b099811!2zTcOpeGljbw!5e0!3m2!1spt-BR!2sbr!4v1737924602874!5m2!1spt-BR!2sbr,https://escolaeducacao.com.br/wp-content/uploads/2020/12/babosa.jpg,https://www.solaria.com.br/wp-content/uploads/2021/03/Babosa-1536x864.png,
Hortelã-pimenta,Mentha x piperita L.,Não há,,,,,,Folhas,"Auxilia no alívio de sintomas dispépticos, tal como flatulência.",Ultilizar de 1 a 3 gramas da droga vegetal em 100-150 mL de água. Adicionar a água fervente sobre a droga vegetal e deixar em repouso por 10-15 minutos antes de usar.,Tomar o infuso três vezes ao dia,"O uso é contraindicado durante a gestação e lactação. Se os sintomas persistirem ao longo de duas semanas do uso desse produto, um médico deverá ser consultado. Pessoas com refluxo gastroesofágico devem evitar o uso de preparações a base de Mentha x piperita, pois pode ocorrer piora do quadro, além de causar irritação da mucosa gástrica, incluindo estomatite, esofagite severa, gastrite, diarreia, pancreatite e piora dos sintomas de pirose. Pessoas portadoras de cálculos biliares e outros distúrbios biliares devem ser cautelosos ao utilizarem o fitoterápico. O uso em crianças menores de 4 anos de idade não é recomendado, pois não há dados disponíveis que comprovem a segurança do uso. O uso é contraindicado para portadores de cálculos biliares, obstrução dos ductos biliares, danos hepáticos severos e litíase urinária. Em altas dosagens pode estar relacionado a lesões hepáticas, nefrite intersticial e insuficiência renal aguda. Pessoas que apresentam hipersensibilidade a salicilatos e asma induzida por aspirina (AIA) devem utilizar este produto com cautela. Pessoas sensíveis podem apresentar irritabilidade e insônia paradoxal. Estudos recentes demonstram diminuição da produção de leite materno. Pode interagir com os medicamentos repositores de estrogênio, potencializando seus efeitos. Pode inibir o metabolismo de fármacos metabolizados por subtipos de CYP3A como nifedipino e ciclosporina, e aumentar a concentração sérica de felodipino. Pode aumentar os efeitos de fármacos inibidores do canal de cálcio ou outros hipotensores cronotrópicos negativos. Pode reduzir a absorção de ferro. Outros sintomas ocasionalmente relatados incluem: náuseas, vômitos, dor abdominal e ardência na região perianal. Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4949247.413431866!2d-7.606263359422975!3d52.720918583622776!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47d0a98a6c1ed5df%3A0xf4e19525332d8ea8!2sInglaterra%2C%20Reino%20Unido!5e0!3m2!1spt-BR!2sbr!4v1737924583729!5m2!1spt-BR!2sbr,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2goWcyXWoO_2L9jRc_o7q-cKqCzCPl3LFkDTt2u0h6g&s=10,https://d168rbuicf8uyi.cloudfront.net/wp-content/uploads/2021/05/23175413/oleo-essencial-de-hortela-pimenta.jpg,
Gengibre,Zingiber officinale Roscoe,Gengimin,FARMOQUÍMICA S/A,Prevenção de náuseas e enjoo causados por movimento (cinetose) e pós-cirúrgicos.,"Ingerir 1 comprimido ao dia (crianças acima de 6 anos). Ingerir 1 comprimido, 2 a 3 vezes ao dia (adultos). Para a prevenção da cinetose, administrar de uma só vez a dosagem diária indicada, 30 minutos antes da viagem.","Não descartar em lixo doméstico ou vaso sanitário. Descartar em pontos de coleta, como farmácias comunitárias e unidades básicas de saúde, conforme políticas locais.","Pacientes com hipersensibilidade aos componentes da fórmula, crianças menores de 6 anos, grávidas, pessoas com cálculos biliares, irritação gástrica e hipertensão arterial. Pacientes em uso de hipoglicemiantes orais ou insulina e anticoagulantes.",Rizomas,Auxilia na prevenção da cinetose (enjoo do movimento).,"Ultilizar de 0,2 a 3 gramas da droga vegetal em 100 mL de água. Ferver a droga vegetal junto com água por 5-10 minutos, deixar resfriar e tomar.","Tomar de duas a quatro vezes ao dia, 30 minutos antes de iniciar a situação potencialmente causadora da náusea.","O uso em crianças não é recomendado. O uso é contraindicado para pessoas portadoras de cálculos biliares, irritação gástrica e hipertensão arterial. Não usar concomitantemente com anticoagulantes. O uso na gestação é contraindicado, por inibir a enzima tromboxano sintetase, podendo afetar a ação da testosterona no concepto. O uso também é contraindicado durante a lactação e para menores de 18 anos devido à falta de dados adequados que comprovem a segurança nessas situações. Não deve ser utilizado em pessoas portadoras de litíase biliar e em altas doses antes de cirurgias. Possui ação inibidora da ciclooxigenase e da 5-lipoxigenase. O gengibre pode interferir no processo de coagulação sanguínea, parâmetros imunológicos, devido a sua capacidade de inibir a tromboxano sintetase e atuar como agonista de prostaciclina. Doses muito elevadas podem causar arritmias e depressão do Sistema Nervoso Central (SNC). Dependendo da dose utilizada, algumas pessoas podem apresentar irritação gástrica e, quando mais elevadas, podem provocar cólicas digestivas, hipertensão arterial e tonturas Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30773484.55170563!2d61.02451656116589!3d19.69009515037612!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30635ff06b92b791%3A0xd78c4fa1854213a6!2zw41uZGlh!5e0!3m2!1spt-BR!2sbr!4v1737924557801!5m2!1spt-BR!2sbr,https://content.paodeacucar.com/wp-content/uploads/2019/08/gengibre-capa.jpg,https://4.bp.blogspot.com/-o7OUlWGLOyc/VSMSs4nFKaI/AAAAAAAAkoI/4lnrIkCwzWA/s1600/gengibre-semana25.jpg,https://th.bing.com/th/id/OIP.mE4VZOAb7aIq6cn_XMxnvgHaD-?rs=1&pid=ImgDetMain
"Boldo, boldo-do-chile",Peumus boldus Molina,Biohepaton,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A.,"Tratamento de distúrbios digestivos leves, atuando na redução de espasmos gastrointestinais e no tratamento de distúrbios hepatobiliares, com ação colagoga e colerética.","Ingerir de 4 a 7 flaconetes ao dia, antes ou depois das principais refeições.","Não descartar em lixo doméstico ou vaso sanitário. Descartar em pontos de coleta, como farmácias comunitárias e unidades básicas de saúde, conforme políticas locais.","Pessoas com hipersensibilidade aos componentes da fórmula, menores de 6 anos, grávidas, lactantes, pacientes com obstrução das vias biliares, cálculos biliares, quadros de inflamação ou câncer no ducto biliar e com câncer no pâncreas; pacientes com doenças severas no fígado, como hepatite viral, cirrose ou hepatite tóxica.",Folhas,Auxilia no alívio dos sintomas dispépticos,Ultilizar de 1 a 2 gramas da droga vegetal em 150 mL de água. Adicionar a água fervente sobre a droga vegetal e deixar em repouso por 10-15 minutos antes de usar.,"Tomar 150 mL do infuso, 10 a 15 minutos após o preparo, de duas a três vezes ao dia.","O uso é contraindicado para pessoas portadoras de cálculos biliares e obstrução dos ductos biliares, colangite, doenças hepáticas, câncer de ducto biliar e pâncreas, devido aos efeitos colagogo e colerético. É contraindicado às gestantes e lactantes devido à presença de alcaloides e risco de neurotoxicidade. Foram observados danos ao concepto em modelos animais. O uso pediátrico não é recomendado, devido à ausência de estudos que comprovem tal segurança. Em caso de aparecimento de eventos adversos, suspender o uso do produto e consultar um médico ou farmacêutico.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26731959.56965953!2d-109.50341163925447!3d-35.127214888014876!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9662c5410425af2f%3A0x505e1131102b91d!2sChile!5e0!3m2!1spt-BR!2sbr!4v1737924533802!5m2!1spt-BR!2sbr,https://vitat.com.br/wp-content/uploads/2020/01/cha-de-boldo-do-chile.jpg,https://www.eusemfronteiras.com.br/wp-content/uploads/2023/01/shutterstock_1785488123-810x608.jpg,https://e.drogasul.med.br/9351-large_default/biohepaton-adulto-10-ml-60-flaconetes.jpg
